Country,Region,Population,AreaPerSqm,PopDensityPerSqm,GDPpercapital,LiteracyPercent
Malta ,WESTERN EUROPE                     ,400214,316,1266.5,17700,92.8
Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,18600,93.9
Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,1196.7,3900,97.2
Bahamas. The ,LATIN AMER. & CARIB    ,303770,13940,21.8,16700,95.6
Iceland ,WESTERN EUROPE                     ,299388,103000,2.9,30900,99.9
Belize ,LATIN AMER. & CARIB    ,287730,22966,12.5,4900,94.1
Barbados ,LATIN AMER. & CARIB    ,279912,431,649.5,15700,97.4
French Polynesia ,OCEANIA                            ,274578,4167,65.9,17500,98
Western Sahara ,NORTHERN AFRICA                    ,273008,266000,1,,0
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,231,11400,96.7
New Caledonia ,OCEANIA                            ,219246,19060,11.5,15000,91
Vanuatu ,OCEANIA                            ,208869,12200,17.1,2900,53
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,374,538.1,2600,0
French Guiana ,LATIN AMER. & CARIB    ,199509,91000,2.2,8300,83
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,193.2,1200,79.3
Samoa ,OCEANIA                            ,176908,2944,60.1,5600,99.7
Guam ,OCEANIA                            ,171019,541,316.1,21000,99
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,273.5,5400,67
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,303,2900,96
Tonga ,OCEANIA                            ,114689,748,153.3,2200,98.5
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,56.9,17200,0
Micronesia. Fed. St. ,OCEANIA                            ,108004,702,153.9,2000,89
Kiribati ,OCEANIA                            ,105432,811,130,800,0
Jersey ,WESTERN EUROPE                     ,91084,116,785.2,24800,0
Grenada ,LATIN AMER. & CARIB    ,89703,344,260.8,5000,98
N. Mariana Islands ,OCEANIA                            ,82459,477,172.9,12500,97
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,179.2,7800,58
Isle of Man ,WESTERN EUROPE                     ,75441,572,131.9,21000,0
Aruba ,LATIN AMER. & CARIB    ,71891,193,372.5,28000,97
Andorra ,WESTERN EUROPE                     ,71201,468,152.1,19000,100
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443,156,11000,89
Dominica ,LATIN AMER. & CARIB    ,68910,754,91.4,5400,94
Bermuda ,NORTHERN AMERICA                   ,65773,53,1241,36000,98
Guernsey ,WESTERN EUROPE                     ,65409,78,838.6,20000,0
Marshall Islands ,OCEANIA                            ,60422,11854,5.1,1600,93.7
American Samoa ,OCEANIA                            ,57794,199,290.4,8000,97
Greenland ,NORTHERN AMERICA                   ,56361,2166086,0,20000,0
Faroe Islands ,WESTERN EUROPE                     ,47246,1399,33.8,22000,0
Cayman Islands ,LATIN AMER. & CARIB    ,45436,262,173.4,35000,98
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,149.9,8800,97
